date,price
11/1/2021,3.5645
8/1/2021,3.6735
7/1/2021,3.696
6/1/2021,3.6505
5/1/2021,3.6395
4/1/2021,3.5545
31/12/2020,3.519
30/12/2020,3.549
29/12/2020,3.5555
28/12/2020,3.571
24/12/2020,3.5625
23/12/2020,3.556
22/12/2020,3.52
21/12/2020,3.5775
18/12/2020,3.6325
17/12/2020,3.6015
16/12/2020,3.559
15/12/2020,3.5445
14/12/2020,3.5265
11/12/2020,3.528
10/12/2020,3.576
9/12/2020,3.5135
8/12/2020,3.499
7/12/2020,3.5165
4/12/2020,3.5245
3/12/2020,3.4905
2/12/2020,3.489
1/12/2020,3.485
30/11/2020,3.438
27/11/2020,3.4175
25/11/2020,3.3305
24/11/2020,3.32
23/11/2020,3.278
20/11/2020,3.31
19/11/2020,3.22
18/11/2020,3.2125
17/11/2020,3.2095
16/11/2020,3.2295
13/11/2020,3.178
12/11/2020,3.145
11/11/2020,3.134
10/11/2020,3.1555
9/11/2020,3.156
6/11/2020,3.154
5/11/2020,3.11
4/11/2020,3.107
3/11/2020,3.0925
2/11/2020,3.077
30/10/2020,3.0475
29/10/2020,3.0565
28/10/2020,3.064
27/10/2020,3.0935
26/10/2020,3.0895
23/10/2020,3.129
22/10/2020,3.1535
21/10/2020,3.1985
20/10/2020,3.148
19/10/2020,3.086
16/10/2020,3.0675
15/10/2020,3.0855
14/10/2020,3.0505
13/10/2020,3.0445
12/10/2020,3.064
9/10/2020,3.0825
8/10/2020,3.042
7/10/2020,3.033
6/10/2020,2.9635
5/10/2020,2.963
2/10/2020,2.9775
1/10/2020,2.8655
30/9/2020,3.0325
29/9/2020,2.996
28/9/2020,2.99
25/9/2020,2.971
24/9/2020,2.968
23/9/2020,2.993
22/9/2020,3.061
21/9/2020,3.032
18/9/2020,3.116
17/9/2020,3.071
16/9/2020,3.061
15/9/2020,3.063
14/9/2020,3.068
11/9/2020,3.0395
10/9/2020,2.9985
9/9/2020,3.0515
8/9/2020,3.025
4/9/2020,3.062
3/9/2020,2.975
2/9/2020,3.0205
1/9/2020,3.0285
31/8/2020,3.0615
28/8/2020,3.0195
27/8/2020,2.9905
26/8/2020,2.9815
25/8/2020,2.9535
24/8/2020,2.9455
21/8/2020,2.934
20/8/2020,2.9915
19/8/2020,3.038
18/8/2020,2.9915
17/8/2020,2.9225
14/8/2020,2.882
13/8/2020,2.832
12/8/2020,2.912
11/8/2020,2.8755
10/8/2020,2.8615
7/8/2020,2.7925
6/8/2020,2.9105
5/8/2020,2.917
4/8/2020,2.8945
3/8/2020,2.912
31/7/2020,2.868
30/7/2020,2.914
29/7/2020,2.919
28/7/2020,2.9175
27/7/2020,2.8975
24/7/2020,2.8925
23/7/2020,2.9385
22/7/2020,2.9245
21/7/2020,2.958
20/7/2020,2.9155
17/7/2020,2.9045
16/7/2020,2.9015
15/7/2020,2.885
14/7/2020,2.9325
13/7/2020,2.955
10/7/2020,2.8975
9/7/2020,2.8385
8/7/2020,2.824
7/7/2020,2.797
6/7/2020,2.7745
2/7/2020,2.7485
1/7/2020,2.734
30/6/2020,2.7285
29/6/2020,2.6925
26/6/2020,2.679
25/6/2020,2.678
24/6/2020,2.6575
23/6/2020,2.6685
22/6/2020,2.6625
19/6/2020,2.628
18/6/2020,2.6105
17/6/2020,2.609
16/6/2020,2.588
15/6/2020,2.5875
